,Unnamed: 0,Single,Travel_Frequently,Educ.Human Resources,Married,Dept. Human Resources,Divorced,Non-Travel,Travel_Rarely,Manufacturing Director,Research Director,hora_ingreso,Manager,Sales,Sales Executive,Research Scientist,Healthcare Representative,Research & Development,Rol.Human Resources,Sales Representative,Laboratory Technician,Medical,Marketing,Technical Degree,Life Sciences,Other,hora_salida,TotalWorkingYears,Age,JobSatisfaction,WorkLifeBalance,YearsWithCurrManager,EnvironmentSatisfaction,YearsSinceLastPromotion,Resignation
12,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.96129134860051,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.086291348600515,37.0,55,1,3,13,4,4,0.0
13,13,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.175572519083968,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.627162849872775,10.0,47,2,2,9,1,9,1.0
14,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.41250000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.03416030534352,5.0,28,4,2,4,4,0,0.0
15,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.26545801526718,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.33374681933842,7.0,37,4,4,1,3,0,0.0
16,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.911164122137402,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.6244592875318,3.0,21,3,4,0,4,1,0.0
17,17,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.62961195928752,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.9555979643766,15.0,37,4,3,2,1,0,0.0
18,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.057124681933846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.214376590330788,10.0,35,2,2,2,2,6,0.0
19,19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.040553435114504,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.268956743002537,8.0,38,1,3,7,1,7,0.0
20,20,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.055820610687023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.778594147582702,6.0,26,2,1,4,3,1,0.0
21,21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.079134860050884,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.434510178117048,28.0,50,2,2,6,1,1,0.0
22,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.073218829516538,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.502830788804072,21.0,53,3,2,3,3,1,0.0
23,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.4339058524173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.744751908396932,13.5,42,3,3,6,2,11,0.0
24,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9904262086514,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.250413486005089,10.0,29,4,2,9,2,0,0.0
25,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.435082697201016,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.068002544529257,12.0,55,4,3,8,2,0,0.0
26,26,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.328975826972002,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.36819338422392,5.0,26,1,3,3,1,3,0.0
27,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.224395674300256,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.055629770992372,17.0,37,4,3,7,4,5,0.0
28,28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.514853689567431,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.70041348600509,19.0,44,3,1,0,4,0,1.0
29,29,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.992907124681937,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.961418575063623,10.0,38,4,3,2,4,1,0.0
30,30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.306933842239186,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.49277989821883,5.0,26,2,3,2,1,0,1.0
31,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.4426844783715,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.622360050890588,5.0,28,4,3,2,4,0,0.0
32,32,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.148505089058528,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.55136768447837,22.0,49,1,3,2,3,1,0.0
33,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.47493638676845,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.208524173027984,10.0,36,2,3,7,3,7,0.0
34,34,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.412372773536898,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.442016539440202,2.0,31,2,2,2,4,2,0.0
35,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.001208651399494,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.111259541984737,8.0,26,4,3,4,4,7,1.0
36,36,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.459446564885496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.70095419847328,4.0,37,4,2,2,2,1,0.0
37,37,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.995260814249365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.23902671755725,23.0,42,2,4,8,3,4,0.0
38,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.862150127226458,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.737881679389314,0.0,18,3,3,0,3,0,1.0
39,39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.367143765903304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.385718829516538,12.0,35,2,2,9,3,6,0.0
40,40,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.580407124681932,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.26669847328245,4.0,36,2,3,0,3,0,0.0
41,41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.229866412213743,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.049809160305344,13.0,51,2,3,2,4,1,0.0
42,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.460909669211198,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.883492366412208,22.0,41,2,3,4,4,0,0.0
43,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.337563613231548,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.779770992366412,0.0,18,3,3,0,4,0,0.0
44,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.511227735368951,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.2199427480916,9.0,28,1,3,7,2,0,0.0
45,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.40241730279898,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.951590330788807,10.0,31,4,2,7,2,7,0.0
46,46,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.148505089058537,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.035019083969463,19.0,39,4,2,7,3,3,0.0
47,47,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.26199109414758,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.343956743002543,11.0,36,2,3,8,2,0,0.0
48,48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.89433842239186,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.93237913486005,13.0,32,3,2,8,4,4,0.0
49,49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.910178117048343,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.91090966921119,19.0,38,2,3,1,1,0,0.0
50,50,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,9.452385496183206,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.521914758269705,12.0,58,3,3,2,4,1,0.0
51,51,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.24484732824428,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.53473282442748,6.0,31,4,3,3,3,0,0.0
52,52,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.321342239185745,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.560718829516537,9.0,31,1,3,0,1,1,0.0
53,53,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.22802162849873,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.82223282442748,24.0,45,1,3,11,1,9,0.0
54,54,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.532601781170484,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.570419847328232,3.0,31,4,1,2,3,2,0.0
55,55,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.266157760814252,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.408206106870226,12.0,33,2,3,8,4,8,0.0
56,56,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.589662849872775,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.87522264631044,21.0,39,1,3,10,3,11,0.0
57,57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.878276081424938,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.529325699745549,9.0,43,4,3,7,3,1,0.0
58,58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.499840966921118,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.725986005089062,25.0,49,3,3,7,3,0,0.0
59,59,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.329866412213736,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.52344147582698,11.0,52,2,2,7,3,7,1.0
60,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.516793893129767,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.47840330788803,4.0,27,2,2,2,3,1,0.0
61,61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.337690839694654,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.927385496183213,13.0,32,2,3,9,3,11,0.0
62,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.042111959287537,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.910687022900767,5.0,27,3,3,4,4,0,0.0
63,63,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.4801844783715,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.608555979643768,13.0,31,4,3,7,4,1,0.0
64,64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.269910941475828,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.040108142493644,10.0,32,4,2,7,1,0,0.0
65,65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.672360050890584,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.77923027989821,5.0,28,4,2,2,1,2,1.0
66,66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.073091603053436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.549077608142492,11.0,30,4,3,9,4,1,0.0
67,67,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.886832061068707,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.612595419847334,10.0,31,3,3,9,3,8,0.0
68,68,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.928244274809158,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.206838422391858,21.0,39,4,3,3,3,13,0.0
69,69,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.623664122137406,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.962404580152675,12.0,39,3,2,0,4,0,0.0
70,70,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.465076335877868,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.309828244274808,9.0,33,4,2,1,2,0,0.0
71,71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.502862595419844,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.528975826972005,21.0,47,3,3,1,4,1,0.0
72,72,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.22185114503817,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.8712786259542,9.0,43,3,4,0,3,0,0.0
73,73,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,9.049491094147582,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.271914758269716,6.0,27,2,3,4,3,1,0.0
74,74,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.071533078880408,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.475318066157756,20.0,54,3,2,3,4,0,0.0
75,75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.306711195928754,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.87108778625954,10.0,43,1,2,0,3,0,0.0
76,76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.469465648854964,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.029421119592868,12.0,45,4,3,8,4,9,0.0
77,77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.049586513994914,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.77134223918573,6.0,40,4,2,2,2,0,0.0
78,78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.97958015267176,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.178530534351147,7.0,29,1,2,7,2,0,1.0
79,79,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.341444020356237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.642970737913483,4.0,29,4,3,2,2,2,0.0
80,80,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.058047073791352,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.763708651399494,10.0,30,3,3,2,4,1,0.0
81,81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.508651399491098,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.183905852417311,8.0,27,2,3,7,2,0,0.0
82,82,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.21106870229008,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.612499999999992,8.0,37,4,2,4,4,0,0.0
83,83,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.494020356234094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.791316793893134,12.0,38,4,3,9,3,2,0.0
84,84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.272773536895672,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.74188931297711,11.0,31,4,2,10,3,4,0.0
85,85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.497996183206109,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.315521628498722,7.0,29,2,3,7,4,1,0.0
86,86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.06777989821883,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.102767175572524,17.0,35,2,3,13,3,0,0.0
87,87,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.288199745547075,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.69936386768448,4.0,23,4,2,2,3,0,0.0
88,88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.352321882951657,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.19596055979644,8.0,41,2,3,2,4,1,0.0
89,89,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.32748091603053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.415298982188297,5.0,47,3,3,0,2,0,0.0
90,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.26781170483462,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.955152671755725,16.0,42,4,3,0,1,0,0.0
91,91,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.11428117048346,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.728657760814247,4.0,29,3,2,2,4,0,0.0
92,92,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8.920515267175574,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.602480916030547,4.0,42,3,3,0,3,1,0.0
93,93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.039472010178123,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.826272264631037,8.0,32,2,3,7,3,0,0.0
94,94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.077131043256994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.58902671755726,15.0,48,3,1,0,1,0,0.0
95,95,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.624173027989825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.82127862595421,13.0,37,1,3,7,3,6,0.0
96,96,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.533905852417297,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.27522264631044,4.0,30,3,4,2,4,2,0.0
97,97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.49048982188295,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.043256997455472,8.0,26,3,3,7,3,7,0.0
98,98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.330343511450376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.893893129770987,14.0,42,4,3,0,1,0,0.0
