EmployeeID,Resignation
2384,1
2399,1
2414,1
2417,1
2418,1
2426,1
2435,1
2436,1
2449,1
2459,1
2462,1
2468,1
2475,1
2484,1
2486,1
2492,1
2494,1
2503,1
2504,1
2510,1
2511,1
2525,1
2526,1
2545,1
2546,1
2551,1
2552,1
2566,1
2578,1
2582,1
2588,1
2592,1
2603,1
2608,1
2655,1
2657,1
2665,1
2674,1
2683,1
2685,1
2697,1
2704,1
2707,1
2709,1
2716,1
2719,1
2728,1
2733,1
2734,1
2752,1
2772,1
2783,1
2785,1
2794,1
2805,1
2807,1
2810,1
2815,1
2823,1
2854,1
2860,1
2865,1
2875,1
2887,1
2888,1
2893,1
2897,1
2899,1
2900,1
2912,1
2917,1
2919,1
2922,1
2933,1
2942,1
2947,1
2954,1
2969,1
2976,1
2979,1
3000,1
3006,1
3010,1
3019,1
3040,1
3046,1
3049,1
3051,1
3053,1
3061,1
3065,1
3068,1
3088,1
3097,1
3098,1
3104,1
3105,1
3122,1
3123,1
3126,1
3136,1
3140,1
3146,1
3152,1
3163,1
3165,1
3187,1
3196,1
3197,1
3208,1
3211,1
3230,1
3245,1
3249,1
3251,1
3256,1
3268,1
3272,1
3274,1
3278,1
3281,1
3290,1
3291,1
3297,1
3319,1
3328,1
3339,1
3343,1
3345,1
3346,1
3349,1
3350,1
3352,1
3366,1
3371,1
3372,1
3376,1
3378,1
3383,1
3389,1
3392,1
3394,1
3403,1
3414,1
3415,1
3427,1
3431,1
3444,1
3445,1
3459,1
3460,1
3462,1
3463,1
3472,1
3474,1
3475,1
3479,1
3480,1
3481,1
3484,1
3496,1
3511,1
3512,1
3514,1
3519,1
3521,1
3525,1
3532,1
3540,1
3547,1
3554,1
3575,1
3594,1
3596,1
3598,1
3611,1
3615,1
3622,1
3623,1
3629,1
3630,1
3635,1
3636,1
3649,1
3658,1
3663,1
3664,1
3668,1
3680,1
3689,1
3690,1
3695,1
3699,1
3704,1
3714,1
3716,1
3719,1
3722,1
3739,1
3740,1
3741,1
3743,1
3751,1
3760,1
3768,1
3789,1
3793,1
3819,1
3836,1
3845,1
3850,1
3854,1
3869,1
3884,1
3887,1
3896,1
3905,1
3906,1
3919,1
3920,1
3929,1
3932,1
3938,1
3940,1
3945,1
3954,1
3956,1
3962,1
3964,1
3973,1
3974,1
3980,1
3981,1
3995,1
3996,1
4009,1
4015,1
4016,1
4021,1
4022,1
4036,1
4037,1
4048,1
4052,1
4058,1
4062,1
4073,1
4078,1
4079,1
4121,1
4127,1
4135,1
4144,1
4153,1
4155,1
4167,1
4174,1
4177,1
4179,1
4186,1
4187,1
4189,1
4195,1
4203,1
4204,1
4222,1
4242,1
4253,1
4255,1
4260,1
4264,1
4275,1
4277,1
4279,1
4280,1
4285,1
4289,1
4293,1
4324,1
4330,1
4335,1
4345,1
4357,1
4358,1
4369,1
4370,1
4382,1
4387,1
4389,1
4403,1
